trip_id,start_time,end_time,start_station,end_station,user_type,distance_km,bike_type,temperature_c,rain_mm,trip_duration_min,day,day_type,month
68,2024-02-06 14:00:00,2024-02-06 14:14:18,St Kilda,CBD Central,Subscriber,5.85,Electric,14.2,1.3,14.3,Tuesday,Weekday,2
69,2024-07-22 15:00:00,2024-07-22 15:26:30,St Kilda,CBD Central,Subscriber,8.68,Standard,17.2,5.0,26.5,Monday,Weekday,7
70,2024-07-21 11:00:00,2024-07-21 11:06:36,CBD Central,Docklands,Casual,2.43,Electric,12.5,1.4,6.6,Sunday,Weekend,7
71,2024-09-20 19:00:00,2024-09-20 19:18:24,Richmond,Fitzroy,Casual,5.89,Electric,14.8,1.1,18.4,Friday,Weekday,9
72,2024-12-23 03:00:00,2024-12-23 03:18:18,CBD Central,Carlton,Subscriber,5.3,Electric,25.7,0.9,18.3,Monday,Weekday,12
73,2024-12-27 20:00:00,2024-12-27 20:02:24,Fitzroy,St Kilda,Subscriber,0.9,Standard,21.3,0.9,2.4,Friday,Weekday,12
74,2024-10-27 08:00:00,2024-10-27 08:09:06,Fitzroy,Southbank,Subscriber,3.27,Standard,26.7,1.0,9.1,Sunday,Weekend,10
75,2024-08-07 20:00:00,2024-08-07 20:08:30,Carlton,St Kilda,Subscriber,2.96,Standard,18.4,2.6,8.5,Wednesday,Weekday,8
76,2024-03-26 22:00:00,2024-03-26 22:07:24,Docklands,Docklands,Subscriber,2.89,Electric,17.0,0.9,7.4,Tuesday,Weekday,3
77,2024-01-03 16:00:00,2024-01-03 16:06:42,CBD Central,Fitzroy,Casual,2.66,Electric,10.2,1.2,6.7,Wednesday,Weekday,1
78,2024-11-29 14:00:00,2024-11-29 14:13:30,Fitzroy,Richmond,Casual,3.74,Standard,24.3,3.7,13.5,Friday,Weekday,11
79,2024-04-17 00:00:00,2024-04-17 00:17:42,CBD Central,CBD Central,Subscriber,4.2,Standard,17.0,0.0,17.7,Wednesday,Weekday,4
80,2024-08-15 15:00:00,2024-08-15 15:12:18,Fitzroy,Richmond,Subscriber,3.62,Standard,19.2,1.8,12.3,Thursday,Weekday,8
81,2024-03-25 11:00:00,2024-03-25 11:17:30,Southbank,Richmond,Casual,3.33,Electric,14.6,2.1,17.5,Monday,Weekday,3
82,2024-04-22 07:00:00,2024-04-22 07:04:48,CBD Central,Fitzroy,Subscriber,1.93,Standard,35.1,1.1,4.8,Monday,Weekday,4
83,2024-08-07 02:00:00,2024-08-07 02:23:36,Southbank,Carlton,Subscriber,9.74,Electric,18.7,0.2,23.6,Wednesday,Weekday,8
84,2024-08-22 02:00:00,2024-08-22 02:00:06,CBD Central,Docklands,Casual,0.03,Standard,13.7,0.7,0.1,Thursday,Weekday,8
85,2024-10-07 16:00:00,2024-10-07 16:11:30,Docklands,CBD Central,Casual,4.07,Electric,11.0,0.2,11.5,Monday,Weekday,10
86,2024-01-17 07:00:00,2024-01-17 07:07:48,Carlton,St Kilda,Casual,1.93,Electric,21.2,5.6,7.8,Wednesday,Weekday,1
87,2024-09-02 12:00:00,2024-09-02 12:09:48,St Kilda,Carlton,Subscriber,3.77,Standard,13.5,1.0,9.8,Monday,Weekday,9
88,2024-05-28 09:00:00,2024-05-28 09:02:42,St Kilda,St Kilda,Subscriber,1.05,Electric,15.3,0.1,2.7,Tuesday,Weekday,5
89,2024-09-14 16:00:00,2024-09-14 16:59:42,St Kilda,Southbank,Subscriber,11.09,Electric,8.8,1.5,59.7,Saturday,Weekend,9
90,2024-05-09 03:00:00,2024-05-09 03:55:00,Southbank,Docklands,Subscriber,10.98,Electric,18.4,0.7,55.0,Thursday,Weekday,5
91,2024-09-18 14:00:00,2024-09-18 14:25:54,Richmond,Carlton,Subscriber,6.01,Electric,18.3,1.6,25.9,Wednesday,Weekday,9
92,2024-12-15 16:00:00,2024-12-15 16:10:06,Fitzroy,Carlton,Casual,3.46,Standard,29.1,1.8,10.1,Sunday,Weekend,12
93,2024-05-09 08:00:00,2024-05-09 08:09:30,St Kilda,St Kilda,Casual,2.02,Electric,14.8,1.7,9.5,Thursday,Weekday,5
94,2024-10-27 15:00:00,2024-10-27 15:11:06,Docklands,CBD Central,Subscriber,2.47,Electric,4.8,0.6,11.1,Sunday,Weekend,10
95,2024-04-12 06:00:00,2024-04-12 06:49:30,St Kilda,Southbank,Subscriber,12.98,Electric,16.7,0.0,49.5,Friday,Weekday,4
96,2024-04-23 19:00:00,2024-04-23 19:18:48,CBD Central,St Kilda,Subscriber,6.02,Electric,25.8,0.9,18.8,Tuesday,Weekday,4
97,2024-12-05 18:00:00,2024-12-05 18:00:36,Southbank,Carlton,Casual,0.26,Standard,21.7,0.4,0.6,Thursday,Weekday,12
98,2024-07-29 16:00:00,2024-07-29 16:30:24,Richmond,Docklands,Subscriber,11.01,Standard,24.5,0.7,30.4,Monday,Weekday,7
99,2024-12-03 22:00:00,2024-12-03 22:13:06,CBD Central,Carlton,Casual,4.0,Electric,20.7,3.0,13.1,Tuesday,Weekday,12
100,2024-06-09 00:00:00,2024-06-09 00:17:24,Richmond,Fitzroy,Subscriber,3.11,Electric,15.4,5.1,17.4,Sunday,Weekend,6
101,2024-02-12 20:00:00,2024-02-12 20:25:42,CBD Central,Docklands,Subscriber,7.6,Electric,11.3,3.9,25.7,Monday,Weekday,2
102,2024-11-03 17:00:00,2024-11-03 17:14:54,CBD Central,Docklands,Casual,3.25,Standard,12.1,1.0,14.9,Sunday,Weekend,11
103,2024-01-21 22:00:00,2024-01-21 22:57:24,Carlton,Carlton,Subscriber,13.87,Electric,14.4,1.1,57.4,Sunday,Weekend,1
104,2024-10-14 22:00:00,2024-10-14 22:14:12,Carlton,CBD Central,Subscriber,3.25,Electric,21.8,0.8,14.2,Monday,Weekday,10
105,2024-10-16 02:00:00,2024-10-16 02:05:18,Fitzroy,Docklands,Casual,1.35,Electric,17.5,2.3,5.3,Wednesday,Weekday,10
106,2024-07-06 00:00:00,2024-07-06 00:30:36,Southbank,Fitzroy,Subscriber,5.57,Standard,7.2,6.3,30.6,Saturday,Weekend,7
107,2024-01-09 14:00:00,2024-01-09 14:03:00,Docklands,St Kilda,Subscriber,0.93,Standard,19.9,0.9,3.0,Tuesday,Weekday,1
108,2024-08-01 22:00:00,2024-08-01 22:06:54,Docklands,CBD Central,Subscriber,1.23,Standard,25.3,1.8,6.9,Thursday,Weekday,8
109,2024-09-06 01:00:00,2024-09-06 01:15:36,Docklands,CBD Central,Subscriber,5.16,Standard,8.5,0.3,15.6,Friday,Weekday,9
110,2024-11-17 17:00:00,2024-11-17 17:31:00,CBD Central,CBD Central,Casual,10.82,Electric,21.3,0.4,31.0,Sunday,Weekend,11
111,2024-10-20 03:00:00,2024-10-20 03:29:18,Carlton,Docklands,Casual,8.43,Electric,5.3,0.5,29.3,Sunday,Weekend,10
112,2024-03-02 20:00:00,2024-03-02 20:06:18,Southbank,CBD Central,Casual,2.28,Electric,12.7,0.1,6.3,Saturday,Weekend,3
113,2024-11-23 10:00:00,2024-11-23 10:07:36,CBD Central,Carlton,Subscriber,3.09,Standard,10.3,0.6,7.6,Saturday,Weekend,11
114,2024-02-05 23:00:00,2024-02-05 23:08:12,Richmond,CBD Central,Subscriber,2.06,Electric,22.1,4.3,8.2,Monday,Weekday,2
115,2024-04-26 06:00:00,2024-04-26 06:06:24,Carlton,Fitzroy,Subscriber,2.05,Electric,28.0,0.8,6.4,Friday,Weekday,4
116,2024-11-04 16:00:00,2024-11-04 16:08:48,Carlton,Southbank,Casual,2.17,Standard,24.4,2.6,8.8,Monday,Weekday,11
117,2024-12-30 19:00:00,2024-12-30 19:26:06,St Kilda,Fitzroy,Subscriber,7.24,Electric,24.2,2.1,26.1,Monday,Weekday,12
118,2024-08-01 04:00:00,2024-08-01 04:53:54,St Kilda,Docklands,Casual,9.27,Electric,12.4,3.4,53.9,Thursday,Weekday,8
119,2024-09-07 19:00:00,2024-09-07 19:29:42,Southbank,CBD Central,Casual,5.5,Electric,21.5,2.3,29.7,Saturday,Weekend,9
120,2024-03-14 05:00:00,2024-03-14 05:03:06,Richmond,CBD Central,Subscriber,1.14,Standard,19.4,2.2,3.1,Thursday,Weekday,3
121,2024-11-11 14:00:00,2024-11-11 14:17:18,Southbank,Carlton,Subscriber,3.48,Electric,10.9,2.0,17.3,Monday,Weekday,11
122,2024-09-22 14:00:00,2024-09-22 14:08:36,Southbank,St Kilda,Subscriber,2.94,Electric,24.5,1.3,8.6,Sunday,Weekend,9
123,2024-10-14 04:00:00,2024-10-14 04:15:18,CBD Central,CBD Central,Casual,5.27,Electric,20.6,3.7,15.3,Monday,Weekday,10
124,2024-03-10 22:00:00,2024-03-10 22:11:30,Fitzroy,Richmond,Subscriber,4.77,Electric,16.7,1.3,11.5,Sunday,Weekend,3
125,2024-05-15 02:00:00,2024-05-15 02:15:54,Southbank,Fitzroy,Casual,5.41,Standard,22.9,3.3,15.9,Wednesday,Weekday,5
126,2024-07-12 04:00:00,2024-07-12 04:11:54,St Kilda,Docklands,Subscriber,2.37,Electric,18.9,1.8,11.9,Friday,Weekday,7
127,2024-02-14 03:00:00,2024-02-14 03:03:36,Fitzroy,Southbank,Casual,1.15,Electric,25.2,2.0,3.6,Wednesday,Weekday,2
128,2024-10-04 20:00:00,2024-10-04 20:14:06,CBD Central,CBD Central,Subscriber,4.2,Electric,29.3,2.1,14.1,Friday,Weekday,10
129,2024-05-11 13:00:00,2024-05-11 13:03:00,Fitzroy,Southbank,Subscriber,1.18,Standard,16.3,1.1,3.0,Saturday,Weekend,5
130,2024-09-03 11:00:00,2024-09-03 11:12:30,Docklands,CBD Central,Casual,4.24,Electric,16.3,4.6,12.5,Tuesday,Weekday,9
131,2024-04-22 05:00:00,2024-04-22 05:29:24,Richmond,Docklands,Casual,8.7,Electric,15.1,3.7,29.4,Monday,Weekday,4
132,2024-05-31 03:00:00,2024-05-31 03:12:30,Fitzroy,St Kilda,Subscriber,4.03,Electric,18.1,1.4,12.5,Friday,Weekday,5
133,2024-08-15 02:00:00,2024-08-15 02:19:30,Southbank,Fitzroy,Casual,5.42,Electric,26.1,1.8,19.5,Thursday,Weekday,8
134,2024-03-10 07:00:00,2024-03-10 07:02:06,CBD Central,Docklands,Casual,0.63,Electric,11.6,2.5,2.1,Sunday,Weekend,3
135,2024-08-21 00:00:00,2024-08-21 00:07:42,Richmond,Southbank,Subscriber,2.67,Electric,9.8,3.1,7.7,Wednesday,Weekday,8
136,2024-11-04 00:00:00,2024-11-04 00:18:18,Southbank,CBD Central,Subscriber,3.4,Electric,19.4,4.7,18.3,Monday,Weekday,11
137,2024-02-24 10:00:00,2024-02-24 10:17:12,Richmond,Southbank,Casual,5.52,Standard,17.8,3.3,17.2,Saturday,Weekend,2
138,2024-10-09 08:00:00,2024-10-09 08:16:42,St Kilda,Fitzroy,Subscriber,3.16,Standard,19.2,1.2,16.7,Wednesday,Weekday,10
139,2024-09-01 08:00:00,2024-09-01 08:08:06,Docklands,Richmond,Subscriber,3.09,Electric,6.3,0.1,8.1,Sunday,Weekend,9
140,2024-11-09 14:00:00,2024-11-09 14:03:30,St Kilda,Docklands,Casual,1.39,Electric,27.2,3.5,3.5,Saturday,Weekend,11
141,2024-08-20 07:00:00,2024-08-20 07:12:06,Southbank,Southbank,Subscriber,4.38,Electric,19.2,2.1,12.1,Tuesday,Weekday,8
142,2024-08-18 10:00:00,2024-08-18 10:43:36,Southbank,Southbank,Subscriber,15.1,Standard,32.7,0.5,43.6,Sunday,Weekend,8
143,2024-07-02 21:00:00,2024-07-02 21:18:00,Southbank,Fitzroy,Casual,7.23,Standard,20.5,3.2,18.0,Tuesday,Weekday,7
144,2024-06-05 04:00:00,2024-06-05 04:30:24,Carlton,Richmond,Subscriber,6.73,Electric,15.6,4.5,30.4,Wednesday,Weekday,6
145,2024-01-28 15:00:00,2024-01-28 15:32:24,Docklands,CBD Central,Casual,7.25,Electric,19.5,1.5,32.4,Sunday,Weekend,1
146,2024-03-24 06:00:00,2024-03-24 06:12:48,Richmond,Richmond,Casual,3.66,Electric,26.9,4.6,12.8,Sunday,Weekend,3
147,2024-11-29 02:00:00,2024-11-29 02:12:06,Southbank,Southbank,Subscriber,2.04,Electric,13.7,3.0,12.1,Friday,Weekday,11
148,2024-03-03 07:00:00,2024-03-03 07:08:48,Southbank,Fitzroy,Subscriber,3.59,Standard,21.5,0.8,8.8,Sunday,Weekend,3
149,2024-05-17 16:00:00,2024-05-17 16:05:42,Richmond,CBD Central,Subscriber,1.0,Electric,20.6,2.3,5.7,Friday,Weekday,5
150,2024-06-05 19:00:00,2024-06-05 19:02:18,St Kilda,Richmond,Subscriber,0.72,Electric,21.6,2.0,2.3,Wednesday,Weekday,6
151,2024-08-06 00:00:00,2024-08-06 00:08:30,St Kilda,Richmond,Casual,2.16,Electric,12.5,2.2,8.5,Tuesday,Weekday,8
152,2024-03-18 05:00:00,2024-03-18 05:18:24,Southbank,Richmond,Subscriber,3.54,Standard,21.8,0.5,18.4,Monday,Weekday,3
153,2024-10-01 09:00:00,2024-10-01 09:07:18,CBD Central,St Kilda,Subscriber,1.27,Standard,21.4,1.9,7.3,Tuesday,Weekday,10
154,2024-02-23 19:00:00,2024-02-23 19:09:30,Carlton,CBD Central,Subscriber,2.2,Electric,27.4,2.9,9.5,Friday,Weekday,2
155,2024-05-29 05:00:00,2024-05-29 05:34:00,St Kilda,Richmond,Subscriber,6.58,Standard,28.6,0.3,34.0,Wednesday,Weekday,5
156,2024-11-10 18:00:00,2024-11-10 18:23:06,CBD Central,St Kilda,Subscriber,9.27,Standard,20.2,4.9,23.1,Sunday,Weekend,11
157,2024-10-30 08:00:00,2024-10-30 08:03:36,Carlton,Docklands,Subscriber,0.83,Standard,19.4,0.3,3.6,Wednesday,Weekday,10
158,2024-03-09 04:00:00,2024-03-09 04:12:48,Southbank,Fitzroy,Subscriber,2.44,Electric,12.2,2.8,12.8,Saturday,Weekend,3
159,2024-06-03 00:00:00,2024-06-03 00:25:24,Docklands,Richmond,Subscriber,9.13,Standard,16.8,1.4,25.4,Monday,Weekday,6
160,2024-01-30 02:00:00,2024-01-30 02:26:12,Fitzroy,CBD Central,Subscriber,7.07,Electric,15.3,4.2,26.2,Tuesday,Weekday,1
161,2024-07-16 09:00:00,2024-07-16 09:17:24,Fitzroy,St Kilda,Subscriber,6.58,Electric,23.9,1.5,17.4,Tuesday,Weekday,7
162,2024-02-05 14:00:00,2024-02-05 14:08:06,Southbank,St Kilda,Casual,3.04,Electric,19.8,0.3,8.1,Monday,Weekday,2
163,2024-12-06 04:00:00,2024-12-06 04:10:18,St Kilda,Docklands,Subscriber,4.28,Electric,12.1,1.8,10.3,Friday,Weekday,12
164,2024-08-31 23:00:00,2024-08-31 23:15:36,CBD Central,Carlton,Subscriber,5.75,Electric,12.9,0.4,15.6,Saturday,Weekend,8
165,2024-11-04 00:00:00,2024-11-04 00:52:48,Docklands,Fitzroy,Subscriber,11.62,Electric,33.3,0.8,52.8,Monday,Weekday,11
166,2024-09-29 00:00:00,2024-09-29 00:06:06,Richmond,Carlton,Subscriber,1.91,Standard,15.4,2.0,6.1,Sunday,Weekend,9
167,2024-08-06 17:00:00,2024-08-06 17:11:54,Carlton,CBD Central,Subscriber,3.55,Electric,22.1,2.2,11.9,Tuesday,Weekday,8
168,2024-08-03 12:00:00,2024-08-03 12:10:18,Southbank,Fitzroy,Casual,3.02,Electric,18.1,0.4,10.3,Saturday,Weekend,8
169,2024-03-12 03:00:00,2024-03-12 03:11:18,Docklands,Docklands,Subscriber,2.72,Electric,16.5,0.8,11.3,Tuesday,Weekday,3
170,2024-08-29 07:00:00,2024-08-29 07:24:42,Docklands,CBD Central,Casual,5.41,Electric,25.0,4.4,24.7,Thursday,Weekday,8
171,2024-08-18 15:00:00,2024-08-18 15:15:30,St Kilda,Fitzroy,Subscriber,5.35,Electric,15.3,0.6,15.5,Sunday,Weekend,8
172,2024-07-24 11:00:00,2024-07-24 11:18:36,Carlton,Fitzroy,Subscriber,3.58,Electric,16.2,0.6,18.6,Wednesday,Weekday,7
173,2024-05-26 06:00:00,2024-05-26 06:46:54,Docklands,Carlton,Subscriber,8.39,Electric,26.2,1.9,46.9,Sunday,Weekend,5
174,2024-01-09 10:00:00,2024-01-09 10:21:54,St Kilda,CBD Central,Subscriber,5.73,Electric,15.7,1.3,21.9,Tuesday,Weekday,1
175,2024-06-24 18:00:00,2024-06-24 18:19:42,CBD Central,Docklands,Subscriber,6.93,Electric,9.6,3.4,19.7,Monday,Weekday,6
176,2024-07-01 21:00:00,2024-07-01 21:05:00,St Kilda,Docklands,Subscriber,1.92,Electric,11.2,0.7,5.0,Monday,Weekday,7
177,2024-04-06 23:00:00,2024-04-06 23:12:12,CBD Central,CBD Central,Subscriber,3.68,Electric,21.1,0.8,12.2,Saturday,Weekend,4
178,2024-11-29 12:00:00,2024-11-29 12:17:54,CBD Central,CBD Central,Subscriber,6.75,Electric,13.8,2.6,17.9,Friday,Weekday,11
179,2024-05-02 03:00:00,2024-05-02 03:07:36,Richmond,St Kilda,Subscriber,1.32,Standard,24.8,0.5,7.6,Thursday,Weekday,5
180,2024-11-20 01:00:00,2024-11-20 01:19:36,Richmond,Southbank,Subscriber,5.51,Standard,18.1,0.3,19.6,Wednesday,Weekday,11
181,2024-01-09 05:00:00,2024-01-09 05:06:24,Docklands,Carlton,Subscriber,1.29,Standard,22.6,1.6,6.4,Tuesday,Weekday,1
